"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 2025",12.4217784129431,9.96529328839977,14.8782635374864,8.66490861378109,16.1786482121051
"Feb 2025",12.4217784129431,8.94778383404616,15.89577299184,7.10876219089829,17.7347946349879
"Mar 2025",12.4217784129431,8.1670213691969,16.6765354566893,5.91468904337341,18.9288677825128
"Apr 2025",12.4217784129431,7.50880816385645,17.3347486620298,4.90803881461907,19.9355180112671
"May 2025",12.4217784129431,6.92891068874718,17.914646137139,4.02116215940085,20.8223946664853
"Jun 2025",12.4217784129431,6.40464329707476,18.4389135288114,3.21936437492385,21.6241924509624
"Jul 2025",12.4217784129431,5.92252967407193,18.9210271518143,2.48203521631123,22.361521609575
"Aug 2025",12.4217784129431,5.47378925514923,19.369767570737,1.79574596885349,23.0478108570327
"Sep 2025",12.4217784129431,5.05232303931312,19.7912337865731,1.15116901545706,23.6923878104291
"Oct 2025",12.4217784129431,4.6536903810638,20.1898664448224,0.541512974891793,24.3020438509944
"Nov 2025",12.4217784129431,4.27453895174343,20.5690178741428,-0.0383490970951499,24.8819059229813
"Dec 2025",12.4217784129431,3.91226432545069,20.9312925004355,-0.592400326196287,25.4359571520825
"Jan 2026",12.4217784129431,3.56479533898759,21.2787614868986,-1.12380828317764,25.9673651090638
"Feb 2026",12.4217784129431,3.23045270119525,21.6131041246909,-1.63514122223939,26.4786980481256
"Mar 2026",12.4217784129431,2.90785243538054,21.9357043905057,-2.12851575308099,26.9720725789672
"Apr 2026",12.4217784129431,2.59583791476979,22.2477189111164,-2.60570078370496,27.4492576095912
"May 2026",12.4217784129431,2.29343077669241,22.5501260491938,-3.06819259069489,27.9117494165811
"Jun 2026",12.4217784129431,1.99979467625229,22.8437621496339,-3.51727025319132,28.3608270790775
"Jul 2026",12.4217784129431,1.71420799874781,23.1293488271384,-3.95403738564407,28.7975942115303
"Aug 2026",12.4217784129431,1.43604296455126,23.4075138613349,-4.3794540941414,29.2230109200276
"Sep 2026",12.4217784129431,1.16474938619028,23.6788074396959,-4.79436181781038,29.6379186436966
"Oct 2026",12.4217784129431,0.899841871013255,23.9437149548729,-5.1995029006511,30.0430597265373
"Nov 2026",12.4217784129431,0.640889616109439,24.2026672097768,-5.59553619885962,30.4390930247458
"Dec 2026",12.4217784129431,0.387508181206424,24.4560486446798,-5.9830496630954,30.8266064889816
